country,rank,account,title,link,followers,views_avg,likes_avg,comments_avg,shares_avg,engagement_per_view,engagement_per_1k_followers,kol_score
All,31,domelipa,Dominik,https://www.tiktok.com/@domelipa,48500000.0,9700000.0,1600000.0,15000.0,7400.0,0.1672577319587629,33.45154639175258,0.515
All,32,deepins,deepins,https://www.tiktok.com/@deepins,16600000.000000002,9700000.0,1400000.0,13200.0,9700.0,0.14669072164948455,85.71686746987952,0.5568
All,33,kennethkaas,Kenneth Kaas,https://www.tiktok.com/@kennethkaas,102500.0,12000000.0,1200000.0,13000.0,8300.0,0.101775,11915.121951219513,0.5454
All,34,swagboygorringe,Daniel Gorringe,https://www.tiktok.com/@swagboygorringe,4500000.0,5700000.0,969700.0,24900.0,25100.0,0.17889473684210527,226.6,0.7662
All,35,official_nct,NCT Official,https://www.tiktok.com/@official_nct,7000000.0,4000000.0,851700.0,35500.0,35700.0,0.230725,131.84285714285716,0.7958000000000001
All,36,jao,JÃO,https://www.tiktok.com/@jao,1100000.0,8100000.0,1200000.0,15600.0,9100.0,0.15119753086419754,1113.3636363636363,0.7562
All,37,kjsmoothh,Kjsmoothh,https://www.tiktok.com/@kjsmoothh,2000000.0,6700000.0,866500.0,11800.0,28800.0,0.13538805970149254,453.55,0.6579999999999999
All,38,loganpaul,Logan Paul,https://www.tiktok.com/@loganpaul,14000000.0,12200000.0,1500000.0,8800.0,4300.0,0.12402459016393443,108.07857142857142,0.47
All,39,pongamoslo_a_prueba,Pongámoslo a Prueba,https://www.tiktok.com/@pongamoslo_a_prueba,28100000.0,13200000.0,1700000.0,4600.0,5600.0,0.12956060606060607,60.861209964412815,0.43179999999999996
All,40,nei.okey,nei.okey,https://www.tiktok.com/@nei.okey,9700.0,5200000.0,1100000.0,26200.0,12900.0,0.21905769230769231,117432.98969072166,0.9443999999999999
All,41,bintangemontersenyum,Gusti Bintang,https://www.tiktok.com/@bintangemontersenyum,982600.0,5700000.0,718100.0,19100.0,34900.0,0.1354561403508772,785.7724404640749,0.6806000000000001
All,42,mero_428,Mero_428,https://www.tiktok.com/@mero_428,1300000.0,585300.0,70900.0,3000.0,5300000.0,9.181445412608918,4133.7692307692305,0.988
All,43,zeth,Zeth,https://www.tiktok.com/@zeth,10600000.0,8500000.0,1300000.0,6000.0,13400.0,0.1552235294117647,124.47169811320755,0.6324000000000001
All,44,addisonre,Addison Rae,https://www.tiktok.com/@addisonre,86500000.0,9500000.0,1100000.0,12900.0,6900.0,0.11787368421052631,12.945664739884393,0.22859999999999997
All,45,savanahmosss,Savanah Moss,https://www.tiktok.com/@savanahmosss,8600000.0,10300000.0,1600000.0,6000.0,6700.0,0.15657281553398059,187.52325581395348,0.6782
