country,rank,account,title,link,followers,views_avg,likes_avg,comments_avg,shares_avg,engagement_per_view,engagement_per_1k_followers,kol_score,like_view_ratio,comment_view_ratio,share_view_ratio,follower_tier
All,25,parthpatel___,Parth Patel,https://www.tiktok.com/@parthpatel___,179600.0,14100000.0,1400000.0,16700.0,6200.0,0.10091489361702127,7922.605790645879,0.5406,0.09929078014184398,0.0011843971631205674,0.0004397163120567376,Mid (100k-1M)
All,26,enhypen,enhypen,https://www.tiktok.com/@enhypen,10100000.0,4800000.0,1200000.0,44300.0,32200.000000000004,0.2659375,126.38613861386139,0.8141999999999999,0.25,0.009229166666666667,0.006708333333333334,Mega (10M+)
All,27,jasminechiswell,Jasmine Chiswell,https://www.tiktok.com/@jasminechiswell,14700000.0,13900000.0,1900000.0,13900.0,1800.0,0.13782014388489208,130.31972789115645,0.563,0.1366906474820144,0.001,0.00012949640287769783,Mega (10M+)
All,28,khaby.lame,Khabane lame,https://www.tiktok.com/@khaby.lame,131100000.0,13800000.0,1600000.0,12700.0,5900.0,0.11728985507246377,12.346300533943555,0.22399999999999998,0.11594202898550725,0.0009202898550724638,0.00042753623188405797,Mega (10M+)
All,29,y_chun,欸！雨群 YuChun,https://www.tiktok.com/@y_chun,1600000.0,9300000.0,2600000.0,5300.0,10700.0,0.2812903225806452,1635.0,0.9645999999999999,0.27956989247311825,0.0005698924731182796,0.0011505376344086021,Macro (1M-10M)
All,30,miakhalifa,Mia Khalifa,https://www.tiktok.com/@miakhalifa,31800000.0,13800000.0,1200000.0,9400.0,13500.0,0.08861594202898551,38.4559748427673,0.2,0.08695652173913043,0.0006811594202898551,0.0009782608695652175,Mega (10M+)
All,31,domelipa,Dominik,https://www.tiktok.com/@domelipa,48500000.0,9700000.0,1600000.0,15000.0,7400.0,0.1672577319587629,33.45154639175258,0.515,0.16494845360824742,0.0015463917525773195,0.0007628865979381444,Mega (10M+)
All,32,deepins,deepins,https://www.tiktok.com/@deepins,16600000.000000002,9700000.0,1400000.0,13200.0,9700.0,0.14669072164948455,85.71686746987952,0.5568,0.14432989690721648,0.0013608247422680411,0.001,Mega (10M+)
All,33,kennethkaas,Kenneth Kaas,https://www.tiktok.com/@kennethkaas,102500.0,12000000.0,1200000.0,13000.0,8300.0,0.101775,11915.121951219513,0.5454,0.1,0.0010833333333333333,0.0006916666666666667,Mid (100k-1M)
All,34,swagboygorringe,Daniel Gorringe,https://www.tiktok.com/@swagboygorringe,4500000.0,5700000.0,969700.0,24900.0,25100.0,0.17889473684210527,226.6,0.7662,0.17012280701754387,0.004368421052631579,0.004403508771929824,Macro (1M-10M)
All,35,official_nct,NCT Official,https://www.tiktok.com/@official_nct,7000000.0,4000000.0,851700.0,35500.0,35700.0,0.230725,131.84285714285716,0.7958000000000001,0.212925,0.008875,0.008925,Macro (1M-10M)
All,36,jao,JÃO,https://www.tiktok.com/@jao,1100000.0,8100000.0,1200000.0,15600.0,9100.0,0.15119753086419754,1113.3636363636363,0.7562,0.14814814814814814,0.001925925925925926,0.0011234567901234568,Macro (1M-10M)
All,37,kjsmoothh,Kjsmoothh,https://www.tiktok.com/@kjsmoothh,2000000.0,6700000.0,866500.0,11800.0,28800.0,0.13538805970149254,453.55,0.6579999999999999,0.12932835820895522,0.0017611940298507462,0.004298507462686567,Macro (1M-10M)
All,38,loganpaul,Logan Paul,https://www.tiktok.com/@loganpaul,14000000.0,12200000.0,1500000.0,8800.0,4300.0,0.12402459016393443,108.07857142857142,0.47,0.12295081967213115,0.000721311475409836,0.0003524590163934426,Mega (10M+)
All,39,pongamoslo_a_prueba,Pongámoslo a Prueba,https://www.tiktok.com/@pongamoslo_a_prueba,28100000.0,13200000.0,1700000.0,4600.0,5600.0,0.12956060606060607,60.861209964412815,0.43179999999999996,0.12878787878787878,0.0003484848484848485,0.00042424242424242425,Mega (10M+)
All,40,nei.okey,nei.okey,https://www.tiktok.com/@nei.okey,9700.0,5200000.0,1100000.0,26200.0,12900.0,0.21905769230769231,117432.98969072166,0.9443999999999999,0.21153846153846154,0.0050384615384615385,0.002480769230769231,Nano (<10k)
All,41,bintangemontersenyum,Gusti Bintang,https://www.tiktok.com/@bintangemontersenyum,982600.0,5700000.0,718100.0,19100.0,34900.0,0.1354561403508772,785.7724404640749,0.6806000000000001,0.1259824561403509,0.0033508771929824563,0.00612280701754386,Mid (100k-1M)
All,42,mero_428,Mero_428,https://www.tiktok.com/@mero_428,1300000.0,585300.0,70900.0,3000.0,5300000.0,9.181445412608918,4133.7692307692305,0.988,0.12113446096019136,0.005125576627370579,9.055185375021356,Macro (1M-10M)
All,43,zeth,Zeth,https://www.tiktok.com/@zeth,10600000.0,8500000.0,1300000.0,6000.0,13400.0,0.1552235294117647,124.47169811320755,0.6324000000000001,0.15294117647058825,0.0007058823529411765,0.0015764705882352942,Mega (10M+)
All,44,addisonre,Addison Rae,https://www.tiktok.com/@addisonre,86500000.0,9500000.0,1100000.0,12900.0,6900.0,0.11787368421052631,12.945664739884393,0.22859999999999997,0.11578947368421053,0.0013578947368421052,0.0007263157894736842,Mega (10M+)
All,45,savanahmosss,Savanah Moss,https://www.tiktok.com/@savanahmosss,8600000.0,10300000.0,1600000.0,6000.0,6700.0,0.15657281553398059,187.52325581395348,0.6782,0.1553398058252427,0.0005825242718446602,0.0006504854368932039,Macro (1M-10M)
All,46,kaliandarie,Kali and arie,https://www.tiktok.com/@kaliandarie,327000.0,8700000.0,1500000.0,7900.0,7400.0,0.17417241379310344,4633.944954128441,0.8514,0.1724137931034483,0.0009080459770114943,0.0008505747126436781,Mid (100k-1M)
All,47,nilered,NileRed,https://www.tiktok.com/@nilered,8400000.0,6500000.0,1200000.0,10800.0,12200.0,0.18815384615384614,145.59523809523807,0.7427999999999999,0.18461538461538463,0.0016615384615384615,0.001876923076923077,Macro (1M-10M)
